loan_id,customer_id,product_type,original_principal,outstanding_balance,interest_rate,monthly_payment,days_past_due,missed_payments_12m,credit_limit,utilisation_ratio
L000292,C000292,Credit Card,8196.88,5924.66,0.046,97.13,0,0,9817.17,0.6035
L000293,C000293,Personal Loan,41838.87,28887.6,0.0907,656.54,0,0,39057.71,0.7396
L000294,C000294,Auto Finance,20675.2,9821.06,0.1671,204.61,0,0,27469.78,0.3575
L000295,C000295,Credit Card,4158.66,3503.2,0.0735,79.62,0,1,7520.47,0.4658
L000296,C000296,Personal Loan,34270.45,29542.27,0.0628,895.22,0,0,64475.18,0.4582
L000297,C000297,Auto Finance,35908.61,15744.4,0.0548,231.54,0,0,25828.96,0.6096
L000298,C000298,Credit Card,14514.13,3345.52,0.0549,139.4,0,0,5136.66,0.6513
L000299,C000299,Personal Loan,21254.77,7267.03,0.1666,346.05,0,0,14422.24,0.5039
L000300,C000300,Personal Loan,22803.03,8972.74,0.0457,271.9,0,0,27772.39,0.3231
L000301,C000301,Auto Finance,41047.62,13851.24,0.0515,243.0,0,1,15120.39,0.9161
L000302,C000302,Auto Finance,22384.22,10850.25,0.1218,230.86,0,0,23981.46,0.4524
L000303,C000303,Auto Finance,18987.72,8273.36,0.174,165.47,0,0,37113.42,0.2229
L000304,C000304,Auto Finance,42005.31,22667.07,0.1084,323.82,0,0,55104.34,0.4113
L000305,C000305,Auto Finance,39067.35,25062.6,0.0621,410.86,0,1,158467.47,0.1582
L000306,C000306,Credit Card,25819.26,23798.83,0.1733,767.7,60,1,63395.28,0.3754
L000307,C000307,Auto Finance,36802.1,26818.12,0.1327,1340.91,0,0,211615.13,0.1267
L000308,C000308,Personal Loan,27391.04,24045.59,0.0761,586.48,0,0,89445.08,0.2688
L000309,C000309,Auto Finance,14148.44,3727.17,0.0772,109.62,0,0,8416.8,0.4428
L000310,C000310,Auto Finance,31105.43,14043.36,0.0503,585.14,0,0,18561.05,0.7566
L000311,C000311,Credit Card,22598.77,17229.36,0.1108,337.83,0,0,39901.25,0.4318
L000312,C000312,Auto Finance,6624.12,3098.09,0.0832,60.75,0,0,5346.14,0.5795
L000313,C000313,Credit Card,18135.56,12488.6,0.1236,249.77,0,0,15146.38,0.8245
L000314,C000314,Auto Finance,31840.71,14804.07,0.097,477.55,0,0,22230.76,0.6659
L000315,C000315,Auto Finance,15763.78,11653.88,0.0677,277.47,45,1,66534.57,0.1752
L000316,C000316,Auto Finance,44867.33,38304.58,0.1165,1235.63,0,0,94595.66,0.4049
L000317,C000317,Personal Loan,4270.94,2957.01,0.1459,105.61,0,0,3972.09,0.7444
L000318,C000318,Auto Finance,41829.96,8717.08,0.1331,264.15,0,0,153487.58,0.0568
L000319,C000319,Auto Finance,15222.29,7067.84,0.1246,150.38,0,0,14346.73,0.4926
L000320,C000320,Credit Card,6734.8,3081.28,0.0522,73.36,0,0,4204.98,0.7328
L000321,C000321,Credit Card,44346.81,22805.4,0.1592,393.2,0,0,62913.68,0.3625
L000322,C000322,Personal Loan,11724.78,6219.15,0.0476,103.65,15,1,9031.1,0.6886
L000323,C000323,Personal Loan,35759.37,7295.52,0.1733,145.91,0,0,16885.31,0.4321
L000324,C000324,Credit Card,35409.49,25477.36,0.0543,489.95,0,0,68536.34,0.3717
L000325,C000325,Auto Finance,22500.21,6132.22,0.1751,266.62,0,0,17886.2,0.3428
L000326,C000326,Personal Loan,29541.41,24059.25,0.0531,445.54,0,0,136654.04,0.1761
L000327,C000327,Auto Finance,28920.12,6201.96,0.1113,100.03,0,0,12787.78,0.485
L000328,C000328,Credit Card,44384.98,24478.99,0.1177,470.75,45,1,47196.35,0.5187
L000329,C000329,Auto Finance,34559.93,23106.28,0.1562,550.15,0,0,59361.16,0.3892
L000330,C000330,Auto Finance,39559.22,26014.43,0.0814,394.16,0,0,57645.93,0.4513
L000331,C000331,Personal Loan,6586.83,3285.14,0.0881,156.44,45,1,5976.35,0.5497
L000332,C000332,Credit Card,18319.62,13485.69,0.1179,518.68,45,1,19512.22,0.6911
L000333,C000333,Credit Card,9806.37,7305.03,0.1676,270.56,60,1,34514.97,0.2116
L000334,C000334,Auto Finance,5688.27,4353.35,0.0515,60.46,0,0,6859.46,0.6346
L000335,C000335,Auto Finance,20746.84,3371.73,0.154,53.52,0,0,5184.34,0.6504
L000336,C000336,Personal Loan,4315.74,3125.73,0.0517,62.51,0,0,8966.9,0.3486
L000337,C000337,Personal Loan,21867.29,15503.1,0.0673,484.47,0,0,106004.05,0.1463
L000338,C000338,Auto Finance,11986.3,3117.8,0.1347,74.23,15,1,4715.33,0.6612
L000339,C000339,Personal Loan,21010.02,3454.68,0.1266,93.37,0,0,10660.77,0.3241
L000340,C000340,Personal Loan,11885.75,9816.24,0.1484,213.4,15,1,59598.47,0.1647
L000341,C000341,Personal Loan,44911.29,8660.15,0.0512,123.72,30,2,53304.36,0.1625
L000342,C000342,Credit Card,12101.26,6938.5,0.1044,231.28,60,1,16297.73,0.4257
L000343,C000343,Personal Loan,14174.23,2402.28,0.0766,104.45,0,0,6611.87,0.3633
L000344,C000344,Personal Loan,35001.02,23345.65,0.0538,348.44,0,0,58212.01,0.401
L000345,C000345,Credit Card,23869.72,21066.79,0.1062,429.93,0,0,83049.22,0.2537
L000346,C000346,Credit Card,11756.08,7226.36,0.0947,109.49,0,0,22297.52,0.3241
L000347,C000347,Auto Finance,19150.25,16585.3,0.0664,921.41,0,0,78932.77,0.2101
L000348,C000348,Personal Loan,10439.96,7349.06,0.0586,114.83,0,0,13563.62,0.5418
L000349,C000349,Personal Loan,11778.14,10910.47,0.0609,158.12,0,0,18253.21,0.5977
L000350,C000350,Credit Card,7052.72,4900.99,0.1302,125.67,60,1,11620.23,0.4218
L000351,C000351,Credit Card,44819.78,28714.51,0.0832,441.76,60,1,54070.79,0.5311
L000352,C000352,Personal Loan,4468.43,1049.12,0.1633,27.61,0,0,2950.06,0.3556
L000353,C000353,Auto Finance,36274.52,33662.05,0.1386,601.11,0,0,65684.71,0.5125
L000354,C000354,Auto Finance,28742.77,10493.38,0.0977,299.81,0,0,18269.31,0.5744
L000355,C000355,Auto Finance,43563.19,39717.69,0.0857,601.78,0,0,117530.01,0.3379
L000356,C000356,Personal Loan,40033.65,19196.29,0.1475,492.21,0,0,64366.37,0.2982
L000357,C000357,Personal Loan,31309.4,8771.09,0.0886,151.23,0,0,54577.1,0.1607
L000358,C000358,Credit Card,32452.74,28598.63,0.1027,1588.81,0,0,91868.95,0.3113
L000359,C000359,Personal Loan,5661.72,4671.23,0.1595,222.44,0,0,10393.61,0.4494
L000360,C000360,Credit Card,9868.75,2798.22,0.1574,75.63,0,0,7000.36,0.3997
L000361,C000361,Auto Finance,16314.13,4753.65,0.1013,125.1,0,0,8250.1,0.5762
L000362,C000362,Auto Finance,23193.2,8392.63,0.1781,399.65,135,3,10596.83,0.792
L000363,C000363,Personal Loan,19492.71,5718.86,0.1164,248.65,45,1,13359.77,0.4281
L000364,C000364,Credit Card,21975.03,6827.73,0.0668,108.38,0,0,11853.48,0.576
L000365,C000365,Credit Card,10295.17,2987.18,0.0707,85.35,60,1,20516.16,0.1456
L000366,C000366,Credit Card,30810.7,13568.16,0.1441,251.26,0,0,42897.51,0.3163
L000367,C000367,Personal Loan,44896.93,14838.55,0.1452,494.62,30,2,74098.15,0.2003
L000368,C000368,Credit Card,16226.31,5821.27,0.0487,264.6,0,0,24705.16,0.2356
L000369,C000369,Auto Finance,37787.65,14573.17,0.095,238.9,0,0,34281.35,0.4251
L000370,C000370,Personal Loan,25419.79,24112.26,0.1244,927.39,0,0,74386.6,0.3241
L000371,C000371,Personal Loan,22051.13,10659.16,0.1361,242.25,0,1,32798.57,0.325
L000372,C000372,Personal Loan,35489.24,10829.06,0.1619,169.2,0,0,39528.98,0.274
L000373,C000373,Auto Finance,11567.24,7459.64,0.1484,414.42,0,0,14730.48,0.5064
L000374,C000374,Personal Loan,30651.96,5086.32,0.0496,211.93,0,0,9326.74,0.5453
L000375,C000375,Credit Card,30936.54,6726.76,0.061,149.48,0,0,14241.28,0.4723
L000376,C000376,Credit Card,21170.75,7198.82,0.1598,257.1,0,1,13975.28,0.5151
L000377,C000377,Personal Loan,25249.93,8318.79,0.0844,145.94,0,0,23090.92,0.3603
L000378,C000378,Credit Card,44169.27,30880.58,0.1454,1625.29,0,0,168535.09,0.1832
L000379,C000379,Auto Finance,22302.04,9708.54,0.155,313.18,0,0,36838.83,0.2635
L000380,C000380,Credit Card,35668.23,23778.61,0.0918,389.81,0,0,54904.71,0.4331
L000381,C000381,Personal Loan,25639.11,12780.7,0.1686,311.72,0,0,45498.55,0.2809
L000382,C000382,Personal Loan,13680.94,11132.47,0.1072,227.19,0,0,23158.47,0.4807
L000383,C000383,Auto Finance,15149.65,12623.4,0.1171,175.32,0,0,53817.97,0.2346
L000384,C000384,Personal Loan,25229.94,11519.56,0.159,280.96,45,1,42537.93,0.2708
L000385,C000385,Personal Loan,10883.3,2083.26,0.0751,39.31,0,0,4918.81,0.4235
L000386,C000386,Personal Loan,17247.95,11306.13,0.114,245.79,0,0,17001.7,0.665
L000387,C000387,Auto Finance,33848.64,14029.0,0.1283,203.32,0,0,32202.51,0.4356
L000388,C000388,Auto Finance,25990.72,12263.21,0.1457,383.23,45,1,28922.35,0.424
L000389,C000389,Credit Card,10510.44,5456.41,0.1282,136.41,0,0,20232.44,0.2697
L000390,C000390,Auto Finance,13149.96,6881.16,0.162,172.03,0,0,31244.67,0.2202
L000391,C000391,Personal Loan,32024.12,24800.13,0.1588,652.63,0,0,38948.87,0.6367
L000392,C000392,Auto Finance,40233.87,27075.63,0.1619,873.41,0,0,206099.31,0.1314
L000393,C000393,Auto Finance,37902.26,35689.06,0.1167,495.68,0,0,146406.85,0.2438
L000394,C000394,Personal Loan,8673.8,6471.83,0.1305,124.46,0,1,11753.61,0.5506
L000395,C000395,Credit Card,34976.93,12837.1,0.0816,611.29,45,1,27751.63,0.4626
L000396,C000396,Personal Loan,21526.28,20122.93,0.0856,591.85,0,0,152880.44,0.1316
L000397,C000397,Credit Card,34812.9,27691.58,0.1204,675.4,0,0,104203.78,0.2657
L000398,C000398,Personal Loan,38660.94,18520.71,0.0536,805.25,0,0,48464.69,0.3821
L000399,C000399,Personal Loan,18974.28,4415.45,0.0883,163.54,0,0,24273.76,0.1819
L000400,C000400,Credit Card,9694.16,5573.08,0.0721,242.31,0,0,9299.31,0.5993
L000401,C000401,Personal Loan,21207.7,4656.21,0.1407,76.33,0,0,26830.27,0.1735
L000402,C000402,Auto Finance,26762.93,25175.76,0.0609,614.04,0,0,87721.71,0.287
L000403,C000403,Credit Card,16148.3,13925.76,0.1366,198.94,45,1,55558.63,0.2506
L000404,C000404,Auto Finance,41129.72,9621.37,0.1143,213.81,0,0,27607.91,0.3485
L000405,C000405,Credit Card,5810.96,4421.99,0.1488,152.48,0,0,5382.41,0.8216
L000406,C000406,Credit Card,24415.92,17545.5,0.1511,877.27,0,0,29408.04,0.5966
L000407,C000407,Personal Loan,9191.11,3470.91,0.0498,102.09,0,0,13969.15,0.2485
L000408,C000408,Credit Card,42132.85,36953.99,0.1643,551.55,0,0,227883.58,0.1622
L000409,C000409,Personal Loan,14757.15,6590.34,0.1446,104.61,0,0,51651.54,0.1276
L000410,C000410,Personal Loan,6951.59,5571.4,0.0781,139.28,0,0,12079.87,0.4612
L000411,C000411,Credit Card,43768.72,37555.26,0.1665,536.5,0,0,275965.0,0.1361
L000412,C000412,Auto Finance,21904.38,5890.61,0.0559,256.11,0,0,18145.29,0.3246
L000413,C000413,Auto Finance,7156.34,3159.37,0.0717,43.88,30,2,4567.39,0.6917
L000414,C000414,Auto Finance,43237.4,13419.79,0.1731,209.68,0,0,40871.27,0.3283
L000415,C000415,Auto Finance,34190.76,11959.1,0.0679,291.69,0,0,26194.62,0.4565
L000416,C000416,Credit Card,25166.95,12409.1,0.0986,564.05,60,2,60696.79,0.2044
L000417,C000417,Personal Loan,23832.61,5981.11,0.0645,89.27,0,0,13152.47,0.4548
L000418,C000418,Personal Loan,6944.28,3338.59,0.1074,47.69,0,0,9214.93,0.3623
L000419,C000419,Personal Loan,43525.82,18858.19,0.0661,819.92,0,0,33816.59,0.5577
L000420,C000420,Auto Finance,44895.79,34098.39,0.1524,587.9,0,0,314177.43,0.1085
L000421,C000421,Personal Loan,24396.46,7306.87,0.1742,228.34,0,1,38268.83,0.1909
L000422,C000422,Personal Loan,22699.8,3607.38,0.1183,120.25,0,3,15336.97,0.2352
L000423,C000423,Personal Loan,19106.05,3370.0,0.05,48.84,0,0,9845.55,0.3423
L000424,C000424,Personal Loan,25167.43,8271.47,0.1118,275.72,0,0,40704.51,0.2032
L000425,C000425,Personal Loan,29546.94,19844.24,0.1472,336.34,0,0,95774.58,0.2072
L000426,C000426,Personal Loan,34395.5,19420.35,0.1493,285.59,0,0,42452.39,0.4575
L000427,C000427,Personal Loan,14105.34,2732.45,0.122,113.85,0,0,10196.78,0.268
L000428,C000428,Personal Loan,42449.47,24811.7,0.0981,1127.8,30,2,39966.05,0.6208
L000429,C000429,Credit Card,27769.2,8773.35,0.0681,365.56,0,0,11000.6,0.7975
L000430,C000430,Credit Card,34633.57,28108.4,0.1117,551.15,0,1,121272.15,0.2318
L000431,C000431,Credit Card,26001.26,21862.09,0.1634,341.6,0,0,30960.03,0.7061
L000432,C000432,Credit Card,41135.58,14493.95,0.161,322.09,0,1,54358.35,0.2666
L000433,C000433,Credit Card,28012.08,7342.96,0.0859,407.94,0,3,35555.63,0.2065
L000434,C000434,Personal Loan,33149.74,23004.99,0.1643,359.45,30,2,38116.98,0.6035
L000435,C000435,Credit Card,24264.8,17776.73,0.0785,395.04,0,0,136994.31,0.1298
L000436,C000436,Personal Loan,16793.9,8703.46,0.1012,189.21,0,0,11014.2,0.7902
L000437,C000437,Auto Finance,31964.0,11507.28,0.072,225.63,90,2,147831.41,0.0778
L000438,C000438,Credit Card,20095.45,16720.15,0.1415,557.34,0,0,19279.59,0.8672
L000439,C000439,Auto Finance,32982.99,25836.79,0.1766,369.1,60,1,79418.12,0.3253
L000440,C000440,Auto Finance,42958.56,9910.96,0.0545,198.22,120,2,44862.97,0.2209
L000441,C000441,Auto Finance,14906.63,4611.42,0.1498,102.48,0,0,10926.81,0.422
L000442,C000442,Auto Finance,20886.02,10115.86,0.1337,532.41,0,0,23558.63,0.4294
L000443,C000443,Credit Card,38886.61,19588.58,0.048,489.71,15,1,140349.07,0.1396
L000444,C000444,Credit Card,3758.73,1181.31,0.0847,18.17,45,1,4414.86,0.2676
L000445,C000445,Personal Loan,43666.79,21309.16,0.075,473.54,0,0,42838.57,0.4974
L000446,C000446,Credit Card,33512.93,10493.43,0.0829,338.5,0,0,14941.94,0.7023
L000447,C000447,Auto Finance,24982.77,22206.7,0.0985,364.04,0,0,53538.93,0.4148
L000448,C000448,Personal Loan,21881.8,6479.23,0.0828,161.98,0,0,12911.99,0.5018
L000449,C000449,Personal Loan,6892.61,5339.16,0.1576,108.96,0,0,12023.82,0.444
L000450,C000450,Credit Card,38431.71,7498.8,0.0721,267.81,0,0,20720.41,0.3619
L000451,C000451,Credit Card,30562.16,21363.24,0.0678,647.37,0,0,40033.33,0.5336
L000452,C000452,Personal Loan,34553.47,25851.61,0.049,445.72,0,0,76926.06,0.3361
L000453,C000453,Personal Loan,8959.61,5981.14,0.0703,161.65,0,0,7519.87,0.7954
L000454,C000454,Credit Card,6348.65,1211.63,0.0924,35.64,0,0,3666.31,0.3305
L000455,C000455,Credit Card,19564.46,18017.99,0.0776,346.5,0,0,73287.27,0.2459
L000456,C000456,Auto Finance,3487.67,1049.66,0.0602,26.91,60,1,7215.08,0.1455
L000457,C000457,Personal Loan,9377.26,5394.79,0.0888,107.9,0,0,14819.64,0.364
L000458,C000458,Credit Card,5641.85,3940.71,0.0852,145.95,60,1,11309.24,0.3485
L000459,C000459,Personal Loan,43767.21,35956.77,0.0472,749.1,0,0,67261.96,0.5346
L000460,C000460,Personal Loan,6187.05,4738.12,0.0795,124.69,0,0,42752.42,0.1108
L000461,C000461,Credit Card,21082.02,19164.11,0.1352,467.42,60,1,41175.73,0.4654
L000462,C000462,Personal Loan,4252.65,3308.71,0.1013,82.72,0,0,9457.47,0.3499
L000463,C000463,Credit Card,31973.95,27264.07,0.1082,1090.56,0,0,83246.02,0.3275
L000464,C000464,Credit Card,13727.22,9341.79,0.1105,322.13,0,0,16472.25,0.5671
L000465,C000465,Auto Finance,35781.5,33265.42,0.1326,1330.62,60,1,73518.33,0.4525
L000466,C000466,Personal Loan,39912.83,32084.66,0.124,1034.99,0,3,42999.93,0.7462
L000467,C000467,Credit Card,13666.05,8454.15,0.1255,325.16,0,0,16215.62,0.5214
L000468,C000468,Personal Loan,26993.09,12206.28,0.0633,230.31,0,0,20459.16,0.5966
L000469,C000469,Auto Finance,10168.02,5028.27,0.1408,78.57,0,0,8588.38,0.5855
L000470,C000470,Auto Finance,31087.49,15947.09,0.0501,295.32,0,0,63601.2,0.2507
L000471,C000471,Personal Loan,12295.06,2053.11,0.0471,54.03,0,0,3619.99,0.5672
L000472,C000472,Personal Loan,44259.31,36576.85,0.1282,1662.58,0,0,97649.58,0.3746
L000473,C000473,Personal Loan,9581.86,1858.87,0.161,26.56,0,0,12115.89,0.1534
L000474,C000474,Credit Card,37589.73,32454.06,0.1547,1475.18,30,1,65131.09,0.4983
L000475,C000475,Personal Loan,44994.76,41899.69,0.1168,598.57,0,0,84957.21,0.4932
L000476,C000476,Credit Card,3259.06,1693.73,0.1025,42.34,0,0,4369.45,0.3876
L000477,C000477,Auto Finance,7999.52,6067.53,0.1612,195.73,0,0,78976.52,0.0768
L000478,C000478,Credit Card,31373.62,17276.69,0.1783,401.78,0,0,33381.04,0.5176
L000479,C000479,Credit Card,30444.51,23001.34,0.1756,522.76,30,2,92248.43,0.2493
L000480,C000480,Personal Loan,19955.52,18683.84,0.1497,455.7,30,1,61266.44,0.305
L000481,C000481,Credit Card,7918.55,6176.0,0.163,114.37,0,0,18346.92,0.3366
L000482,C000482,Credit Card,15197.88,2304.33,0.0453,56.2,0,0,4459.78,0.5167
L000483,C000483,Auto Finance,19530.24,15290.05,0.0545,283.15,0,0,152334.93,0.1004
L000484,C000484,Credit Card,8570.92,5786.51,0.1375,170.19,0,0,10412.85,0.5557
L000485,C000485,Auto Finance,36747.38,21730.89,0.0689,1143.73,0,0,40317.99,0.539
L000486,C000486,Personal Loan,10354.74,3784.11,0.1287,90.1,120,2,7433.26,0.5091
L000487,C000487,Credit Card,44061.89,13987.21,0.1089,237.07,0,0,86016.13,0.1626
L000488,C000488,Auto Finance,20665.22,10297.66,0.1341,490.36,0,1,58133.17,0.1771
L000489,C000489,Personal Loan,35194.09,30985.66,0.1654,1347.2,0,0,120728.58,0.2567
L000490,C000490,Credit Card,17580.66,13975.65,0.0586,582.32,0,0,47823.37,0.2922
L000491,C000491,Auto Finance,19230.06,9821.79,0.1639,363.77,0,0,20325.76,0.4832
L000492,C000492,Personal Loan,42478.81,19354.27,0.1167,339.55,0,0,170016.84,0.1138
L000493,C000493,Credit Card,37474.73,23129.5,0.054,453.52,0,1,48227.15,0.4796
L000494,C000494,Personal Loan,33623.73,11383.57,0.1015,175.13,0,0,16622.35,0.6848
L000495,C000495,Personal Loan,8311.75,7484.6,0.0621,374.23,15,1,18963.0,0.3947
L000496,C000496,Personal Loan,41887.93,22099.23,0.1642,849.97,120,2,119168.68,0.1854
L000497,C000497,Credit Card,25945.03,12554.36,0.1332,181.95,0,0,95734.41,0.1311
L000498,C000498,Auto Finance,30314.63,22744.46,0.1286,1083.07,60,1,25866.25,0.8793
L000499,C000499,Personal Loan,36373.31,9216.94,0.0849,271.09,0,0,15792.55,0.5836
L000500,C000500,Credit Card,16067.02,7625.74,0.1121,107.4,0,0,11121.86,0.6857
L000501,C000501,Personal Loan,8009.89,6947.61,0.1436,124.06,0,0,138952.2,0.03
L000502,C000502,Personal Loan,17637.25,7490.87,0.1161,166.46,0,0,23766.37,0.3152
L000503,C000503,Credit Card,34318.9,10819.53,0.1373,263.89,15,1,40072.38,0.27
L000504,C000504,Credit Card,19153.38,14842.37,0.0513,345.17,0,2,83605.04,0.1775
L000505,C000505,Auto Finance,14404.21,9166.76,0.1704,199.28,0,0,26849.67,0.3414
L000506,C000506,Credit Card,26259.15,20033.35,0.1036,345.4,45,1,32857.88,0.6097
L000507,C000507,Personal Loan,19479.52,11302.04,0.0508,364.58,0,0,64230.06,0.176
L000508,C000508,Credit Card,21146.74,5804.8,0.1634,89.3,30,1,22562.41,0.2573
L000509,C000509,Auto Finance,15508.61,12128.68,0.0664,242.57,60,2,18653.25,0.6502
L000510,C000510,Auto Finance,11822.95,11084.72,0.141,357.57,0,0,46039.19,0.2408
L000511,C000511,Personal Loan,7342.06,4741.3,0.0689,65.85,0,0,8670.31,0.5468
L000512,C000512,Auto Finance,16077.31,3239.92,0.1686,66.12,0,0,5310.69,0.6101
L000513,C000513,Auto Finance,26569.0,23834.11,0.1079,851.22,0,0,30697.68,0.7764
L000514,C000514,Credit Card,4046.76,2082.3,0.1113,50.79,0,1,4386.66,0.4747
L000515,C000515,Credit Card,34058.22,12218.83,0.0993,174.55,0,0,16043.08,0.7616
L000516,C000516,Personal Loan,44182.36,26861.66,0.0864,583.95,0,0,124787.83,0.2153
L000517,C000517,Credit Card,43196.82,24948.31,0.1601,804.78,0,0,55053.73,0.4532
L000518,C000518,Credit Card,31317.14,29357.91,0.1503,863.47,0,0,73499.88,0.3994
L000519,C000519,Personal Loan,16722.16,6423.51,0.1115,139.64,0,0,28335.34,0.2267
L000520,C000520,Auto Finance,44043.73,13108.11,0.1049,485.49,0,0,34571.91,0.3792
L000521,C000521,Credit Card,19603.56,12395.74,0.1272,177.08,120,2,17560.2,0.7059
L000522,C000522,Credit Card,34301.36,9691.77,0.117,302.87,15,1,60279.0,0.1608
L000523,C000523,Credit Card,35166.65,31802.31,0.1379,636.05,0,0,48004.46,0.6625
L000524,C000524,Credit Card,10652.27,7196.96,0.1352,112.45,30,1,12757.04,0.5642
L000525,C000525,Auto Finance,30321.88,9658.04,0.141,166.52,0,3,20951.02,0.461
L000526,C000526,Credit Card,32413.79,16483.15,0.0639,235.47,60,1,29714.28,0.5547
L000527,C000527,Auto Finance,16030.73,12015.44,0.1645,387.59,0,0,40578.81,0.2961
L000528,C000528,Personal Loan,6336.79,2186.81,0.0966,35.27,0,0,2997.63,0.7295
L000529,C000529,Auto Finance,39112.86,31905.42,0.0487,818.09,0,0,89363.32,0.357
L000530,C000530,Credit Card,38346.56,35627.43,0.0692,712.55,0,0,57256.37,0.6222
L000531,C000531,Personal Loan,23057.96,10590.81,0.0933,286.24,0,0,14818.8,0.7147
L000532,C000532,Auto Finance,10942.99,7540.1,0.1669,134.64,0,0,22208.41,0.3395
L000533,C000533,Credit Card,13080.18,9810.7,0.1068,316.47,0,0,17235.62,0.5692
L000534,C000534,Credit Card,31339.94,10341.2,0.1643,220.03,0,0,32082.15,0.3223
L000535,C000535,Auto Finance,44005.76,36869.59,0.1399,801.51,0,0,66824.41,0.5517
L000536,C000536,Personal Loan,37131.8,33268.85,0.1147,1108.96,0,0,99650.25,0.3339
L000537,C000537,Personal Loan,41078.39,6416.18,0.1618,130.94,0,0,22849.24,0.2808
L000538,C000538,Personal Loan,16518.82,4017.49,0.0497,100.44,0,0,20822.64,0.1929
L000539,C000539,Personal Loan,3898.6,1560.76,0.1571,86.71,0,0,3862.84,0.404
L000540,C000540,Auto Finance,16099.35,10977.17,0.1238,313.63,0,0,36028.0,0.3047
L000541,C000541,Personal Loan,12200.61,5682.1,0.1599,183.29,0,0,9903.02,0.5738
L000542,C000542,Personal Loan,19231.86,5206.67,0.0897,82.65,0,0,12884.31,0.4041
L000543,C000543,Personal Loan,28979.8,17667.96,0.1139,569.93,0,0,27319.61,0.6467
L000544,C000544,Credit Card,12357.36,3770.68,0.0463,85.7,0,0,9874.13,0.3819
L000545,C000545,Credit Card,33504.42,29968.82,0.0662,468.26,30,1,154003.61,0.1946
L000546,C000546,Auto Finance,32768.65,29247.68,0.0791,596.89,0,0,120814.86,0.2421
L000547,C000547,Personal Loan,38223.2,8347.83,0.0821,128.43,0,0,28112.81,0.2969
L000548,C000548,Credit Card,11413.06,1911.3,0.1046,79.64,0,0,9202.69,0.2077
L000549,C000549,Auto Finance,39291.4,19120.14,0.1669,303.49,0,0,47281.56,0.4044
L000550,C000550,Auto Finance,33368.66,10927.45,0.1383,376.81,0,0,14615.73,0.7477
L000551,C000551,Personal Loan,39716.66,15723.6,0.1277,238.24,0,0,37758.58,0.4164
L000552,C000552,Personal Loan,34549.48,8601.54,0.0953,209.79,0,0,19496.35,0.4412
L000553,C000553,Credit Card,12746.69,9599.0,0.1206,479.95,0,0,26171.13,0.3668
L000554,C000554,Auto Finance,34616.54,25123.89,0.0722,930.51,60,1,114970.6,0.2185
L000555,C000555,Credit Card,20085.41,9444.02,0.1144,524.67,15,1,23698.11,0.3985
L000556,C000556,Personal Loan,17410.98,6975.51,0.1024,199.3,0,0,18414.44,0.3788
L000557,C000557,Credit Card,16767.54,12435.44,0.1336,310.89,0,0,48078.94,0.2586
L000558,C000558,Personal Loan,13965.38,12053.78,0.1673,197.6,0,0,17851.87,0.6752
L000559,C000559,Auto Finance,19839.47,9092.2,0.1544,174.85,0,0,10227.99,0.889
L000560,C000560,Credit Card,24378.86,6551.99,0.1761,145.6,30,1,14124.62,0.4639
L000561,C000561,Personal Loan,19402.28,15252.88,0.1113,476.65,0,0,115357.9,0.1322
L000562,C000562,Credit Card,23904.49,19546.63,0.0521,291.74,0,0,38290.97,0.5105
L000563,C000563,Credit Card,21618.58,11941.57,0.1263,277.71,120,2,38094.35,0.3135
L000564,C000564,Credit Card,22846.09,11713.16,0.1394,390.44,0,0,18916.96,0.6192
L000565,C000565,Auto Finance,35023.03,20349.8,0.1362,317.97,0,0,42975.34,0.4735
L000566,C000566,Personal Loan,9353.95,6299.19,0.0957,196.85,135,3,41801.11,0.1507
L000567,C000567,Personal Loan,16813.87,15302.0,0.1418,283.37,0,0,32537.83,0.4703
L000568,C000568,Personal Loan,31133.22,23475.78,0.0719,670.74,0,0,46280.0,0.5073
L000569,C000569,Personal Loan,44672.91,31400.25,0.0988,951.52,45,1,95599.2,0.3285
L000570,C000570,Credit Card,15803.14,10688.17,0.1451,381.72,0,0,25316.43,0.4222
L000571,C000571,Credit Card,39302.2,24162.37,0.1433,493.11,15,1,84056.19,0.2875
L000572,C000572,Personal Loan,40424.19,6093.33,0.0758,210.11,0,0,9386.68,0.6491
L000573,C000573,Personal Loan,41843.27,18754.3,0.1705,416.76,0,0,52990.3,0.3539
L000574,C000574,Credit Card,37901.77,29658.48,0.1753,449.37,0,0,46272.09,0.641
L000575,C000575,Auto Finance,22962.98,15771.86,0.1304,250.35,0,0,85291.99,0.1849
L000576,C000576,Credit Card,27330.99,23404.23,0.1647,936.17,0,0,313543.84,0.0746
L000577,C000577,Auto Finance,29661.33,13933.92,0.1579,267.96,60,1,16987.36,0.8203
L000578,C000578,Auto Finance,36881.52,30978.52,0.0819,737.58,45,1,41809.39,0.7409
L000579,C000579,Auto Finance,28124.1,22649.39,0.1197,371.3,0,0,67651.6,0.3348
L000580,C000580,Auto Finance,40607.45,35797.01,0.1294,701.9,0,0,68341.08,0.5238
L000581,C000581,Credit Card,17036.69,15845.01,0.0861,528.17,90,2,30344.8,0.5222
L000582,C000582,Credit Card,3175.74,1552.23,0.0947,32.34,15,1,3070.42,0.5055
L000583,C000583,Auto Finance,36486.27,27260.58,0.0668,478.26,0,0,50433.39,0.5405
